Nome,Preço Antigo,Preço Pix,Preço Cartão,URL Imagem,Características JSON
Lampada Led Tubular T8 Ho 40w 6500k 240cm Bivolt Branco Frio,49.31,40.23,"3X de R$13,97",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2638/2.png?ims=290x290,data\lampada_Lampada Led Tubular T8 Ho 40w 6500k 240cm Bivolt Branco Frio.json
"Lampada Dicroica Led Mr16 4,8w   - 6500K",8.55,6.98,"1X de R$7,27",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/795/design-sem-nome-13.png?ims=290x290,"data\lampada_Lampada Dicroica Led Mr16 4,8w   - 6500K.json"
"Lampada Dicroica Led Mr16 4,8w   - 3000K",8.55,6.98,"1X de R$7,27",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1713/mr163000k-1.png?ims=290x290,"data\lampada_Lampada Dicroica Led Mr16 4,8w   - 3000K.json"
"Lampada Dicroica Led Mr16 4,8w   - 4000K",8.55,6.98,"1X de R$7,27",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/796/design-sem-nome-14.png?ims=290x290,"data\lampada_Lampada Dicroica Led Mr16 4,8w   - 4000K.json"
Lampada Led 9w   - 6500K,3.9,3.18,"1X de R$3,31",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1441/1.png?ims=290x290,data\lampada_Lampada Led 9w   - 6500K.json
Lampada Led 9w   - 3000K,3.28,2.68,"1X de R$2,79",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1439/3.png?ims=290x290,data\lampada_Lampada Led 9w   - 3000K.json
Lampada Led 200w E40 Bulbo   - 6500k,185.37,151.26,"3X de R$52,52",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2736/lampada-led-200w-bulbo-e40-6500k-1.png?ims=290x290,data\lampada_Lampada Led 200w E40 Bulbo   - 6500k.json
Lampada Led 200w E40 Bulbo   - 3000K,185.37,151.26,"3X de R$52,52",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2741/lampada-led-200w-bulbo-e40-1.png?ims=290x290,data\lampada_Lampada Led 200w E40 Bulbo   - 3000K.json
Lampada Led 150w E40 Bulbo   6500K,,145.5,"3X de R$50,52",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1768/1.png?ims=290x290,
Lampada Led 150w E40 Bulbo   4000K,,145.5,"3X de R$50,52",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1768/1.png?ims=290x290,
Lampada Camera 360deg Vr Cam Com Wifi,162.5,132.6,"3X de R$46,04",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/199/500d3101000e3ca40a996ca9169f2bcf.jpg?ims=290x290,
Lampada Led 150w E40 Bulbo   - 3000K,129.6,105.75,"3X de R$36,72",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1768/1.png?ims=290x290,
Lampada Led 100w Bulbo E27   Branco Frio - 6500k,113.21,94.51,"3X de R$32,82",https://global.cdn.magazord.com.br/maetocom/img/2024/07/produto/2879/1.png?ims=290x290,
Lampada Led Bulbo 75w   - 6500k,102.06,83.28,"3X de R$28,92",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/769/design-sem-nome-8.png?ims=290x290,data\lampada_Lampada Led Bulbo 75w   - 6500k.json
Lampada Led 75w Bulbo G-Light   Branco Frio - 6500K,76.47,62.4,"3X de R$21,67",https://global.cdn.magazord.com.br/maetocom/img/2024/06/produto/2850/d-nq-np-898234-mlb75674148526-04.png?ims=290x290,data\lampada_Lampada Led 75w Bulbo G-Light   Branco Frio - 6500K.json
Lampada Led Bulbo Alta Potencia 60w   - 6500K,48.99,39.97,"3X de R$13,88",https://global.cdn.magazord.com.br/maetocom/img/2023/10/produto/1251/lamp-60w-1.png?ims=290x290,data\lampada_Lampada Led Bulbo Alta Potencia 60w   - 6500K.json
Lampada Musical De Led Bluetooth E27 Bivolt   - RGB,48.61,39.67,"3X de R$13,77",https://global.cdn.magazord.com.br/maetocom/img/2023/10/produto/799/4lampada-sonora-bluetooth.png?ims=290x290,
Lampada AR111 Led 12w   - 4000K,41.51,33.87,"3X de R$11,76",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/777/ar111.png?ims=290x290,
Lampada Led Bulbo 50w   - 3000K,38.98,32.54,"3X de R$11,30",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2350/lampada-50w-maga-4.png?ims=290x290,data\lampada_Lampada Led Bulbo 50w   - 3000K.json
Lampada AR111 Led 12w   2700k,39.64,32.34,"3X de R$11,23",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/776/lampada-ar111.png?ims=290x290,
Lampada Inteligente Rgb Wifi Smart Google Alexa Color    - RGB,46.0,29.38,"3X de R$10,20",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/750/1xg.jpg?ims=290x290,
Lampada Led Flamma Avant Efeito Chama   - 4w,34.0,27.74,"2X de R$14,45",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/788/lamp-flama-4w-1.png?ims=290x290,
Lampada G9 Led 3w Halopin   - 2700K,26.9,21.95,"2X de R$11,43",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1612/1.png?ims=290x290,
Lampada Ultra Led Bulbo 40w   - 3000K,26.67,21.76,"2X de R$11,34",https://global.cdn.magazord.com.br/maetocom/img/2024/02/produto/2032/lampada-led-40w-bulbo-branco-quente-3000k-1.png?ims=290x290,data\lampada_Lampada Ultra Led Bulbo 40w   - 3000K.json
Lampada Festa Led Giratoria Colorida Balada Colorida   - RGB,25.0,20.4,"2X de R$10,63",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/748/43lampada-giratoria-rgb.png?ims=290x290,
"Lampada AR70 Led Gu10 4,8w   - 4000K",24.43,19.94,"2X de R$10,39",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/778/ar70.png?ims=290x290,
Lampada Ultra Led Bulbo 40w   - 6500K,23.63,19.29,"2X de R$10,05",https://global.cdn.magazord.com.br/maetocom/img/2024/02/produto/2027/9.png?ims=290x290,data\lampada_Lampada Ultra Led Bulbo 40w   - 6500K.json
"Lampada AR70 Led Gu10 4,8w   - 2700K",23.32,19.03,"1X de R$19,82",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1555/17.png?ims=290x290,
Lampada Dimerizavel Led 9w A60 220v   Branco Quente - 3000K,22.68,18.51,"1X de R$19,28",https://global.cdn.magazord.com.br/maetocom/img/2024/07/produto/2866/1.png?ims=290x290,data\lampada_Lampada Dimerizavel Led 9w A60 220v   Branco Quente - 3000K.json
Kit 6 Lampada Led 9w Bulbo E27 Bivolt    - 6500K,21.0,17.14,"1X de R$17,85",https://global.cdn.magazord.com.br/maetocom/img/2023/10/produto/1046/13.png?ims=290x290,data\lampada_Kit 6 Lampada Led 9w Bulbo E27 Bivolt    - 6500K.json
Kit Com 3 Lampadas De Led 15w Bivolt   - 6500K,20.06,16.37,"1X de R$17,05",https://global.cdn.magazord.com.br/maetocom/img/2023/10/produto/1027/2.png?ims=290x290,
Lampada Led 30w Alta Potencia Bulbo   - 3000K,19.93,16.26,"1X de R$16,94",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2328/lampada-led-30w-branco-quente-3000k-1.png?ims=290x290,data\lampada_Lampada Led 30w Alta Potencia Bulbo   - 3000K.json
Lampada Par30 Led 11w   - 6500K,19.0,15.5,"1X de R$16,15",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1454/1.png?ims=290x290,data\lampada_Lampada Par30 Led 11w   - 6500K.json
Lampada Par30 Led 11w   - 3000K,19.0,15.5,"1X de R$16,15",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1717/13.png?ims=290x290,data\lampada_Lampada Par30 Led 11w   - 3000K.json
Lampada Par30 Led 11w   - 4000K,19.0,15.5,"1X de R$16,15",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1455/7.png?ims=290x290,data\lampada_Lampada Par30 Led 11w   - 4000K.json
Lampada Led Filamento Retro St64 4w Bivolt   - 2200K,17.28,14.1,"1X de R$14,69",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1789/1.png?ims=290x290,
Lampada Led Par20 7w   - 6500K,13.3,10.85,"1X de R$11,30",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1449/6500k-1.png?ims=290x290,data\lampada_Lampada Led Par20 7w   - 6500K.json
Lampada Led 30w Alta Potencia Bulbo   - 6500K,12.95,10.57,"1X de R$11,01",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2445/design-sem-nome-2.png?ims=290x290,data\lampada_Lampada Led 30w Alta Potencia Bulbo   - 6500K.json
Lampada Led 20w Alta Potencia Bulbo   - 3000K,12.64,10.31,"1X de R$10,74",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2339/lampada-20w-maga-4.png?ims=290x290,data\lampada_Lampada Led 20w Alta Potencia Bulbo   - 3000K.json
Lampada Led Par20 7w   - 4000K,11.44,9.33,"1X de R$9,72",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1447/4000k-1.png?ims=290x290,data\lampada_Lampada Led Par20 7w   - 4000K.json
Lampada Led Par20 7w   - 3000K,11.44,9.33,"1X de R$9,72",https://global.cdn.magazord.com.br/maetocom/img/2024/01/produto/1715/16.png?ims=290x290,data\lampada_Lampada Led Par20 7w   - 3000K.json
Lampada Led Mr11 Dicroica 4w   - 6500K,9.5,7.75,"1X de R$8,07",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/794/mr11-4w.png?ims=290x290,data\lampada_Lampada Led Mr11 Dicroica 4w   - 6500K.json
Lampada Led Mr11 Dicroica 4w   - 4000K,9.5,7.75,"1X de R$8,07",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/793/mr11-4w-2.png?ims=290x290,data\lampada_Lampada Led Mr11 Dicroica 4w   - 4000K.json
Lampada Led Mr11 Dicroica 4w   - 2700K,9.5,7.75,"1X de R$8,07",https://global.cdn.magazord.com.br/maetocom/img/2023/11/produto/1462/15.png?ims=290x290,data\lampada_Lampada Led Mr11 Dicroica 4w   - 2700K.json
Lampada Led 20w Alta Potencia Bulbo   - 6500K,8.49,6.93,"1X de R$7,22",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2336/lampada-20w-maga-1.png?ims=290x290,data\lampada_Lampada Led 20w Alta Potencia Bulbo   - 6500K.json
Lampada Led 12w Bulbo E27   Branco Frio - 6500k - Unico,5.81,4.74,"1X de R$4,94",https://global.cdn.magazord.com.br/maetocom/img/2023/10/produto/1234/6.png?ims=290x290,
Lampada Led 15w E27   - 6500K,5.68,4.64,"1X de R$4,83",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2747/lampada-15w-3.png?ims=290x290,data\lampada_Lampada Led 15w E27   - 6500K.json
Lampada Led 7w   - 6500K,5.48,4.47,"1X de R$4,66",https://global.cdn.magazord.com.br/maetocom/img/2023/09/produto/239/2ae2f3be350477d6fb46f7a8f082d382.jpeg?ims=290x290,
Lampada Halogena 105w - 220v,4.45,3.63,"1X de R$3,78",https://global.cdn.magazord.com.br/maetocom/img/2024/05/produto/2798/lampada-halogena-105w-1.png?ims=290x290,
Lampada Halogena 70w - 220v,4.17,3.4,"1X de R$3,54",https://global.cdn.magazord.com.br/maetocom/img/2024/05/produto/2790/lampada-halogena-70w-1.png?ims=290x290,
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2686/50.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2382/25.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2422/33.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2414/49.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2398/17.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2430/1.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2406/9.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2390/41.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2686/50.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2382/25.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2422/33.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2414/49.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2398/17.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2430/1.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2406/9.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico.json
